Id,SalePrice
1461,123736.93
1462,150067.5
1463,178032.4
1464,170674.08
1465,200176.21
1466,181797.2
1467,167834.62
1468,158715.04
1469,180428.94
1470,119076.58
1471,195018.81
1472,95419.0
1473,99824.5
1474,149862.09
1475,142342.2
1476,374234.46
1477,246305.88
1478,304213.81
1479,247737.07
1480,467515.36
1481,303287.68
1482,208353.5
1483,175330.1
1484,178974.12
1485,171902.93
1486,201888.41
1487,327306.1
1488,235434.96
1489,209342.68
1490,197652.16
1491,192336.9
1492,92285.43
1493,173026.5
1494,291963.76
1495,295658.35
1496,215862.9
1497,197835.16
1498,154277.66
1499,151846.78
1500,153230.25
1501,170921.68
1502,164885.5
1503,290760.48
1504,229024.4
1505,216054.72
1506,180001.24
1507,213793.93
1508,189749.0
1509,157078.12
1510,152748.0
1511,150874.0
1512,170032.5
1513,134692.64
1514,161754.71
1515,184145.51
1516,149419.34
1517,156517.77
1518,130172.63
1519,223515.74
1520,139369.83
1521,147114.0
1522,160955.0
1523,116350.02
1524,123464.0
1525,127749.66
1526,126128.76
1527,100752.73
1528,128091.07
1529,144846.08
1530,167311.64
1531,127778.21
1532,111897.26
1533,146806.5
1534,118675.75
1535,161095.5
1536,115191.86
1537,80010.22
1538,198310.34
1539,242017.75
1540,116468.51
1541,147981.85
1542,156873.51
1543,212715.09
1544,80046.08
1545,103361.0
1546,120448.76
1547,151322.82
1548,143738.07
1549,111430.31
1550,148630.22
1551,118911.2
1552,146505.82
1553,143878.87
1554,113885.44
1555,184925.56
1556,100683.22
1557,127602.53
1558,96920.51
1559,136802.55
1560,150261.11
1561,152263.92
1562,130945.58
1563,123655.09
1564,163118.15
1565,151219.04
1566,220202.82
1567,77024.75
1568,210807.2
1569,155385.71
1570,130414.5
1571,143197.49
1572,146526.5
1573,245792.4
1574,118946.04
1575,219938.63
1576,212565.5
1577,205188.64
1578,139028.13
1579,142750.0
1580,190093.1
1581,140615.83
1582,128442.0
1583,316990.02
1584,246671.03
1585,140729.5
1586,76174.76
1587,104851.62
1588,152804.14
1589,100394.38
1590,131464.62
1591,108544.9
1592,124051.41
1593,111687.4
1594,137746.14
1595,135579.65
1596,233841.67
1597,170216.09
1598,185567.87
1599,211914.67
1600,192066.56
1601,85532.93
1602,109832.83
1603,93498.33
1604,281147.51
1605,241816.6
1606,168246.64
1607,163710.55
1608,209952.87
1609,198226.56
1610,162898.65
1611,149275.37
1612,168692.59
1613,165559.9
1614,125831.28
1615,88424.0
1616,84942.8
1617,89121.0
1618,128847.83
1619,129316.08
1620,145032.33
1621,135355.18
1622,155985.35
1623,291417.75
1624,205708.5
1625,133362.83
1626,174302.5
1627,175572.18
1628,282108.87
1629,176882.65
1630,354804.63
1631,220147.12
1632,242697.2
1633,165467.87
1634,180788.0
1635,167206.66
1636,157605.55
1637,177505.2
1638,216894.18
1639,180355.5
1640,253472.14
1641,182874.5
1642,222375.0
1643,225590.18
1644,233382.27
1645,174902.08
1646,152787.5
1647,162763.5
1648,142606.59
1649,142737.33
1650,118798.81
1651,122395.13
1652,101661.5
1653,106991.5
1654,155741.4
1655,153268.15
1656,147638.18
1657,153111.64
1658,156548.9
1659,146282.55
1660,143006.83
1661,453058.98
1662,361964.67
1663,347717.8
1664,421892.65
1665,315245.22
1666,323135.79
1667,351610.51
1668,325159.45
1669,290792.44
1670,328362.77
1671,269780.94
1672,419526.26
1673,296740.04
1674,248685.45
1675,180220.87
1676,180815.77
1677,208489.76
1678,418077.68
1679,344502.2
1680,326040.65
1681,271251.5
1682,296104.98
1683,186991.95
1684,169542.04
1685,160203.66
1686,165959.6
1687,165812.45
1688,190664.21
1689,186699.8
1690,182397.2
1691,173809.42
1692,252961.87
1693,166152.23
1694,183584.32
1695,170263.55
1696,261863.2
1697,169479.8
1698,334430.11
1699,310684.32
1700,239612.05
1701,268689.63
1702,255595.6
1703,251775.14
1704,294557.25
1705,233568.4
1706,420658.75
1707,218560.91
1708,218570.05
1709,271672.94
1710,223501.42
1711,251145.37
1712,234607.84
1713,251419.85
1714,226389.72
1715,198869.86
1716,174567.37
1717,165238.74
1718,145272.46
1719,207496.98
1720,250131.86
1721,169627.51
1722,138718.25
1723,156475.37
1724,212649.16
1725,230269.59
1726,188270.0
1727,172684.97
1728,185653.1
1729,166250.04
1730,151361.47
1731,119909.21
1732,132692.16
1733,127880.0
1734,135374.39
1735,132855.08
1736,117548.57
1737,342649.67
1738,214444.04
1739,279102.81
1740,170987.34
1741,174556.26
1742,171100.33
1743,173801.27
1744,323278.04
1745,253569.73
1746,278502.34
1747,222310.23
1748,201740.3
1749,157702.0
1750,155819.24
1751,225789.6
1752,126609.08
1753,148264.58
1754,217817.8
1755,161055.77
1756,121852.25
1757,121882.58
1758,149292.5
1759,167551.14
1760,159345.5
1761,151975.0
1762,178151.02
1763,170140.5
1764,114376.83
1765,161517.53
1766,171009.0
1767,187140.9
1768,141894.95
1769,163008.99
1770,137377.0
1771,138426.04
1772,136412.64
1773,142909.34
1774,129380.63
1775,134547.75
1776,114857.44
1777,119587.0
1778,130532.5
1779,114485.5
1780,176436.05
1781,133068.43
1782,104097.06
1783,127855.61
1784,95882.97
1785,116492.46
1786,155123.52
1787,167938.33
1788,61265.47
1789,97366.36
1790,87687.22
1791,165709.46
1792,153162.75
1793,138675.09
1794,140868.6
1795,139261.0
1796,125536.5
1797,116948.07
1798,126719.06
1799,118059.33
1800,127467.35
1801,131889.56
1802,148461.36
1803,152205.92
1804,139432.3
1805,136603.0
1806,116554.69
1807,142094.67
1808,119356.96
1809,125655.98
1810,150042.87
1811,116566.0
1812,121885.41
1813,122835.0
1814,100814.05
1815,61731.53
1816,103469.34
1817,118750.44
1818,147652.87
1819,117191.86
1820,76984.0
1821,120891.5
1822,139608.39
1823,66848.45
1824,149016.22
1825,150762.16
1826,106350.47
1827,109192.66
1828,148036.43
1829,110765.36
1830,144992.57
1831,170641.85
1832,114094.39
1833,148735.0
1834,142083.33
1835,168583.0
1836,126672.87
1837,108933.76
1838,140812.86
1839,87823.72
1840,160205.41
1841,149709.46
1842,90926.51
1843,147799.0
1844,132097.33
1845,144004.52
1846,149713.5
1847,162081.15
1848,66541.27
1849,119343.11
1850,130254.5
1851,153525.18
1852,132455.75
1853,139863.86
1854,176815.5
1855,138626.75
1856,224063.49
1857,139487.37
1858,138503.69
1859,120361.42
1860,152501.21
1861,119777.12
1862,267344.58
1863,263622.72
1864,264115.52
1865,314087.02
1866,322283.04
1867,241520.56
1868,302645.5
1869,192253.33
1870,241012.43
1871,254215.5
1872,172695.34
1873,235736.88
1874,143854.1
1875,200920.0
1876,196621.9
1877,207870.65
1878,216279.93
1879,138308.2
1880,131613.59
1881,239564.89
1882,256580.56
