id,yield
15000,7535.36429399175
15001,6792.942436050952
15002,4799.059319636869
15003,6859.314632312779
15004,5602.021275356018
15005,5375.541124443428
15006,5498.309616587408
15007,3660.7438947254377
15008,5610.355740642367
15009,5692.855125719044
15010,4169.677494572757
15011,8154.269861918971
15012,5365.298139797896
15013,6206.186155155553
15014,7507.875868541877
15015,5338.031732215097
15016,5442.311583766217
15017,5602.449737821351
15018,6669.942748842452
15019,5781.653009609945
15020,7377.081700934344
15021,7255.778943682235
15022,6323.9797971357475
15023,6597.819794176331
15024,7404.899433078307
15025,5761.633170175181
15026,3651.8157449394157
15027,7439.148708392756
15028,6650.728245396239
15029,7389.27190928186
15030,8209.973968503913
15031,7180.178810720352
15032,6172.747938074297
15033,5706.777393183819
15034,5264.897602288591
15035,6423.753619573239
15036,6517.298571531856
15037,7530.971994753878
15038,5627.011575447985
15039,8367.136958195868
15040,6637.392133410475
15041,6801.903411150112
15042,5483.489416458802
15043,4635.984425566446
15044,5045.181198964841
15045,6829.82305252608
15046,8155.646973936707
15047,3962.2603640755947
15048,6332.408182936075
15049,7426.09545636813
15050,3224.56025347467
15051,6414.114033781357
15052,6619.912445139688
15053,5538.340019067171
15054,5569.420215147135
15055,5646.744222922178
15056,5848.084468224127
15057,6644.275939417216
15058,6730.6968840471745
15059,6809.906135097471
15060,6630.095779240095
15061,6803.192049949261
15062,5389.003124860538
15063,5365.298139797896
15064,6585.951103816052
15065,7518.991885177176
15066,5633.61970201797
15067,5459.039054289882
15068,3590.8885791036164
15069,6605.317197356615
15070,7472.995903879839
15071,6944.427155182255
15072,3495.4382289314326
15073,3083.21042551598
15074,6876.003066064767
15075,4892.3067635120115
15076,3760.2487852968056
15077,7228.576018130779
15078,6187.08863181999
15079,3603.593028346804
15080,7535.356568297459
15081,4179.096171271809
15082,4677.385384063587
15083,5559.000019580857
15084,5634.61904783522
15085,7256.044374047156
15086,6200.077385387653
15087,6427.963010475619
15088,5673.740259918816
15089,6688.132779816074
15090,6835.26105785461
15091,6487.703804258692
15092,6240.900737181086
15093,4004.3967221993794
15094,5856.316535139786
15095,7086.301356809494
15096,6846.514958258511
15097,5717.886977523587
15098,4324.846439418724
15099,3915.0329365715575
15100,7179.797584198919
15101,5429.589307509994
15102,6571.805589416634
15103,4603.427587490041
15104,6272.6852575215225
15105,5646.744222922178
15106,4085.5363637259497
15107,4156.236147770526
15108,8272.86951187535
15109,6837.663728930667
15110,5681.7865671759755
15111,5389.003124860538
15112,7899.384004460225
15113,3622.791268101319
15114,5424.08455137061
15115,5627.425172982198
15116,4757.895851546235
15117,7054.984660246221
15118,5358.511104568334
15119,7372.406240991926
15120,6530.091245967336
15121,7228.934411818509
15122,6398.601427061811
15123,6822.789830673787
15124,5368.317167874218
15125,7394.682376162476
15126,6265.65203566923
15127,6522.7456525049665
15128,5614.952735316849
15129,3971.1885138616167
15130,5671.668811472167
15131,5396.348653059344
15132,6696.256920179172
15133,6668.264620712912
15134,6488.867351010789
15135,7295.5662026303935
15136,6810.204079230449
15137,6965.372684235825
15138,7394.828093380217
15139,5794.797126633301
15140,7276.381571666161
15141,5284.4099293529425
15142,6833.993542618944
15143,7530.971994753878
15144,5843.445666313415
15145,5807.128885698252
15146,4097.614046163266
15147,8149.139771989336
15148,7760.557245545025
15149,5359.802661565611
15150,6196.933663416001
15151,7481.8811156005895
15152,6671.164484671571
15153,6223.644284834785
15154,7841.200833207316
15155,5380.0148155092675
15156,4088.115181961912
15157,5365.298139797896
15158,6319.981611556392
15159,6799.03415310025
15160,6219.565242424644
15161,7262.905960612648
15162,6548.123525642772
15163,8151.99427894489
15164,4417.254643209235
15165,4095.7041089197473
15166,5636.198356183942
15167,7490.019671747665
15168,5039.939080323603
15169,7270.194631548082
15170,5059.712333594825
15171,7399.362097695822
15172,4326.41877641837
15173,6274.790604063356
15174,7897.803071514266
15175,6826.686016233909
15176,7530.971994753878
15177,4405.864932304056
15178,4151.650397627852
15179,6408.160654340089
15180,7025.778019606212
15181,4141.4826524340515
15182,8174.363847786592
15183,5481.260787568792
15184,5590.702774865892
15185,6928.224530067108
15186,6228.301470524827
15187,6749.746760610606
15188,3200.391102748644
15189,4725.9713953031005
15190,5157.667166084389
15191,5559.015440141288
15192,4152.218975279305
15193,6654.42287537868
15194,7414.223293564638
15195,7017.341641263236
15196,7391.101636353132
15197,4326.41877641837
15198,5605.298377085762
15199,5860.807972055523
15200,4264.67661815554
15201,6690.492455462788
15202,5328.664609555804
15203,5504.79079453826
15204,7030.954312403461
15205,4573.6540125511765
15206,8188.816176510094
15207,6354.086485042524
15208,5091.743918209335
15209,4386.588597681553
15210,8106.552580017541
15211,5653.6431382880255
15212,5442.264258379983
15213,5400.867841326179
15214,5792.624986737299
15215,4646.759129470707
15216,7394.828093380217
15217,7254.235477294666
15218,6478.721451432272
15219,6633.985395387136
15220,6567.104140262807
15221,6295.544820074481
15222,6772.281031221785
15223,5696.1985554731855
15224,7093.1900993876
15225,6327.24459383092
15226,6721.46493827526
15227,4280.9035140531505
15228,5382.115819168192
15229,5406.725922539879
15230,6875.834998981297
15231,4127.607060381251
15232,5420.265295015599
15233,6176.544402440829
15234,5653.7133817350405
15235,6251.392699090781
15236,7841.200833207316
15237,4105.469142522407
15238,3415.340109680065
15239,4362.311779054238
15240,7537.639876965832
15241,4076.9351925973433
15242,6281.601333349005
15243,7060.737409124907
15244,5634.61904783522
15245,6660.992561848559
15246,4564.563528929739
15247,7533.080985323377
15248,6634.101296874069
15249,5319.053617050566
15250,5508.462499410632
15251,6522.7456525049665
15252,5617.487646952801
15253,4341.109360898198
15254,7394.299709534917
15255,5439.172062054998
15256,5163.51659013718
15257,7839.091842637817
15258,5798.037606003551
15259,5719.063428779753
15260,7997.860446983251
15261,5784.247630914761
15262,5157.916028856348
15263,6360.122614227834
15264,7202.051972645906
15265,7636.632695237883
15266,5780.086842830982
15267,6488.983252497722
15268,4566.698342536503
15269,7792.78258377876
15270,4634.1675844675965
15271,4613.450296348122
15272,5811.454558613384
15273,4970.172914552245
15274,6064.43131591908
15275,7926.79869565571
15276,6547.581722921491
15277,6181.688796898183
15278,6938.086084906021
15279,5956.66841634558
15280,7840.5916059471165
15281,4598.070520878409
15282,7406.447734808481
15283,2891.0601627147234
15284,3723.563916372634
15285,3629.8244899536126
15286,7291.427765452467
15287,6480.096544100476
15288,5505.0918265336595
15289,4789.2749275938295
15290,6957.781262251107
15291,4125.169244469364
15292,4587.929826375652
15293,6624.2715130152465
15294,6847.689781158704
15295,6486.264852595143
15296,8143.962262704557
15297,6826.430302329584
15298,5803.170853475534
15299,6608.5094619420615
15300,4717.31513133094
15301,7620.535101227
15302,6925.708810795324
15303,3554.5697371329907
15304,6681.722256188474
15305,7369.464029786519
15306,8162.4601682963685
15307,6492.120288789893
15308,5375.677860279738
15309,4679.4463854131345
15310,5039.594296862797
15311,7408.869690006386
15312,8298.63747164565
15313,5030.629954616487
15314,6179.694020396579
15315,5597.603167261524
15316,6776.5315698480135
15317,8297.486119555439
15318,3301.825383867965
15319,6181.7206952380775
15320,5357.017019331834
15321,5550.338659183875
15322,7533.24757772796
15323,5334.858284724267
15324,4067.516515898291
15325,7765.112340461666
15326,5401.3921537906945
15327,6463.538524139505
15328,4126.792067954223
15329,6539.894425135492
15330,6722.295007170749
15331,4733.335250680028
15332,4201.3966191049085
15333,7577.7063481884
15334,7132.531571795159
15335,5091.743918209335
15336,7369.464029786519
15337,7610.709588650382
15338,6646.328912141565
15339,4069.206951762274
15340,6803.192049949261
15341,5158.9004666664905
15342,5591.466510751113
15343,4492.374130248258
15344,5340.779339642099
15345,7073.776418102772
15346,7358.795171274767
15347,3379.172907757329
15348,5634.044797300277
15349,6788.09498325827
15350,6458.6653199747225
15351,5498.997392971196
15352,5953.093867549778
15353,5586.641684008954
15354,7817.732084787059
15355,4608.508213669639
15356,7599.23269844374
15357,8167.155189948314
15358,6633.985395387136
15359,5324.430064385155
15360,6689.453890899754
15361,6712.814645250088
15362,6972.405906088117
15363,4156.168331646271
15364,5499.001520449493
15365,4198.701971410853
15366,6500.815967803997
15367,6807.96398822594
15368,6200.077385387653
15369,4633.848875352446
15370,7843.476416181397
15371,7236.981080613817
15372,7042.983500614157
15373,5667.837937782507
15374,4188.5342262170525
15375,6351.658643378645
15376,6640.616980574758
15377,4603.905287423505
15378,5360.779860423432
15379,5668.30899052122
15380,7442.381852942561
15381,8257.205751529911
15382,4264.67661815554
15383,7819.841075356558
15384,4815.578310235629
15385,7226.713392190666
15386,7278.927399868263
15387,6465.621510400534
15388,3423.5943255749935
15389,4994.665995199511
15390,5756.423386882091
15391,6500.8981776225
15392,6239.8769200677825
15393,6401.352376862332
